Resurvey.Year,2015.Plot.Name,1980.Plot.Name,Latitude,Longitude,2015.Elevation.m
2015,ROSS4045,4045,48.75899,-121.01142,686
2015,ROSS4043,4043,48.77073,-121.02681,522
2015,ROSS4041,4041,48.76758,-121.02908,531
2015,ROSS4037,4037,48.77232,-121.03577,514
2015,ROSS4039,4039,48.77048,-121.03171,528
2015,ROSS4049,4049,48.75209,-121.01009,730
2015,ROSS4051,4051,48.74533,-121.01085,777
2015,ROSS4047,4047,48.75274,-121.01104,713
2015,BBCR3032,3032,48.78304,-121.07722,529
2015,BBCR3028,3028,48.78908,-121.08116,539
2015,BBCR6075,6075,48.80994,-121.1638,607
2015,BBCR6071,6071,48.81251,-121.17931,616
2015,BBCR3030,3030,48.80013,-121.10643,529
2015,BBCR6077,6077,48.80367,-121.12795,553
2015,BBCR6073,6073,48.80935,-121.16915,570
2015,BBCR3034,3034,48.804413,-121.135188,511
2015,ROSS3048,3048,48.74236,-121.05636,593
2015,ROSS3046,3046,48.74461,-121.04327,630
2015,ROSS4001,4001,48.75378,-121.03062,537
2015,ROSS3044,3044,48.7588,-121.03985,605
2015,ROSS3042,3042,48.77108,-121.06889,590
2015,ROSS3036,3036,48.77705,-121.05984,558
2015,ROSS3040,3040,48.77438,-121.06618,522
2015,ROSS4001REF,4001,48.74877,-121.03737,616
2015,HB5148,5148,48.45824,-120.83835,871
2015,BRCR5154,5154,48.45163,-120.85244,875
2015,BRCR5156,5156,48.44254,-120.86369,811
2015,BRCR5128,5128,48.43329,-120.87115,685
2015,COT5143,5143,48.45184,-120.98038,812
2015,COT5145,5145,48.4509,-120.96599,805
2015,COT5141,5141,48.45143,-120.98933,852
2015,BRCR5147,5147,48.44664,-120.94338,756
2015,BRCR5142,5142,48.43559,-120.87373,709
2015,BRCR5126,5126,48.43424,-120.91614,830
2015,HB5146,5146,48.45761,-120.83999,857
2015,STE2098,2098,48.32906,-120.69949,376
2015,HB5158,5158,48.42553,-120.82553,659
2015,HIBR5160,5160,48.39343,-120.84525,548
2015,STE2050,2050,48.36897,-120.75068,408
2015,HB2068,2068,48.37327,-120.85091,619
2015,STE2084,2084,48.34637,-120.75427,779
2015,STE2096,2096,48.32316,-120.69228,357
2015,STE2094,2094,48.30544,-120.69392,720
2015,STE2092,2092,48.30348,-120.69582,761
2015,STE2070,2070,48.37824,-120.84105,560
2015,STE2024,2024,48.36269,-120.6906,938
2015,STE2072,2072,48.32478,-120.77933,965
2015,STE2090,2090,48.34626,-120.72459,383
2015,STE2088,2088,48.34626,-120.72924,430
2015,STE2022,2022,48.35617,-120.69366,941
2015,STE2002,2002,48.35226,-120.69578,865
2015,STE2020,2020,48.35242,-120.69411,872
2015,STE2038,2038,48.33995,-120.68851,557
2015,STE2045,2045,48.31108,-120.64748,634
2015,STE2041,2041,48.30852,-120.63457,983
2015,STE2043,2043,48.31152,-120.64018,783
2015,STE2047,2047,48.28195,-120.63262,347
2015,STE2049,2049,48.2835,-120.63379,374
2015,STE2040,2040,48.33333,-120.68734,403
2015,STE2042,2042,48.34107,-120.70263,374
2015,STE2044,2044,48.3468,-120.69739,630
2015,STE2001,2001,48.34463,-120.68139,838
2015,STE2003,2003,48.34819,-120.66803,982
2015,STE2046,2046,48.3455,-120.69481,609
2015,HIBR2082,2082,48.38364,-120.83337,634
2015,STE2036,2036,48.34336,-120.69005,686
2015,HIBR2052,2052,48.38037,-120.83429,508
2015,HB2066,2066,48.37562,-120.83883,573
2015,HB2064,2064,48.37416,-120.83536,669
2015,HB5144,5144,NA,NA,
2015,Park5122,5122,48.44075,-120.90571,1010
2015,Park5124,5124,48.43819,-120.90897,1000
2015,BrCr5028,5028,48.46495,-120.75203,1052
2015,Nort5152,5152,48.47329,-120.84106,924
2015,Stil5002,5002,48.47885,-120.70591,1223
2015,Nort5150,5150,48.48469,-120.85074,966
2015,Goode5136,5136,48.44769,-120.88988,1679
2015,Goode5134,5134,48.44691,-120.89116,1691
2015,Copp6036,6036,48.90402,-121.4418,784
2015,Copp6044,6044,48.88753,-121.52423,1346
2015,Copp6012,6012,48.89637,-121.50427,1618
2015,Copp6008,6008,48.89617,-121.48026,1669
2015,Copp6004,6004,48.90373,-121.467,1714
2015,Copp6006,6006,48.90614,-121.46334,1817
2015,Copp6020,6020,48.93221,-121.43975,1721
2015,Copp6018,6018,48.91846,-121.44685,1566
2015,Copp6022,6022,48.93815,-121.42554,1720
2015,Copp6028,6028,48.95473,-121.4023,892
2015,Copp6032,6032,48.93371,-121.39318,744
2015,Copp6034,6034,48.92078,-121.41408,763
2015,What6031,6031,48.87437,-121.36478,1583
2015,What6029,6029,48.87499,-121.35811,1481
2015,What6027,6027,48.88229,-121.37015,1755
2015,What6025,6025,48.88342,-121.37107,1759
2015,What6011,6011,48.88314,-121.37649,1718
2015,What6013,6013,48.87843,-121.36175,1693
2015,What6015,6015,48.87611,-121.36347,1595
2015,What6021,6021,48.87405,-121.37292,1458
2015,What6017,6017,48.8732,-121.38152,1338
2015,What6019,6019,48.87438,-121.39512,1159
2015,Copp6016,6016,48.93163,-121.43913,1701
2015,Copp6024,6024,48.95256,-121.41911,1350
2015,Copp6038,6038,48.89019,-121.45778,851
2015,Copp6030,6030,48.94621,-121.40054,710
2015,Copp6026,6026,48.9534,-121.40733,1037
2015,Copp6014,6014,48.9076,-121.46302,1873
2015,Copp6002,6002,48.90329,-121.46986,1661
2015,Copp6010,6010,48.89532,-121.49453,1657
2015,Copp6042,6042,48.89274,-121.51527,1483
2015,What6035,6035,48.87284,-121.34833,1020
2015,What6037,6037,48.87289,-121.34332,931
2015,What6039,6039,48.87308,-121.33745,898
2015,What6043,6043,48.88714,-121.30578,852
2015,What6041,6041,48.88044,-121.31555,841
2015,What6005,6005,48.88865,-121.33459,1817
2015,What6003,6003,48.88726,-121.3373,1844
2015,What6001,6001,48.88748,-121.34425,1889
2015,What6007,6007,48.88642,-121.34993,1751
2015,What6009,6009,48.88488,-121.35005,1708
2015,Copp6048,6048,48.89453,-121.55752,1187
2015,Copp6046,6046,NA,NA,NA
2015,Goode5132,5132,48.44714,-120.88466,1439
2015,Goode5130,5130,48.44747,-120.8839,1423
2015,Goode5138,5138,48.44714,-120.8839,1413
2015,Goode5140,5140,48.44365,-120.88313,1315
2015,Cas5109,5109,48.4919,-120.6687,1692
2015,Cas5101,5101,48.49847,-121.06032,1579
2015,Cas5107,5107,48.49356,-121.06613,1680
2015,Cas5105,5105,48.4964,-121.06392,1723
2015,Cas5103,5103,48.4987,-121.06086,1855
2015,Ste2033,2033,48.31768,-120.59884,2122
2015,Ste2031,2031,48.31793,-120.60249,1927
2015,Ste2029,2029,48.31281,-120.61086,1724
2015,Ste2027,2027,48.31221,-120.61115,1722
2015,Ste2039,2039,48.30794,-120.62097,1320
2015,Ste2078,2078,48.39578,-120.82996,921
2015,Ste2062,2062,48.39609,-120.82951,938
2015,Ste2060,2060,48.39742,-120.82497,1152
2015,Ste2058,2058,48.39753,-120.82293,1199
2015,Ste2056,2056,48.39842,-120.82353,1217
2015,Ste2054,2054,48.39878,-120.82305,1242
2015,Ste2035,2035,48.33444,-120.58569,2051
2015,Ste2037,2037,48.33315,-120.58442,2032
2015,Ste2025,2025,48.35031,-120.58418,1899
2015,Pyra1017,1017,48.68673,-121.12446,1264
2015,Pyra1015,1015,48.68715,-121.12418,1218
2015,Pyra1013,1013,48.68825,-121.12289,1137
2015,Pyra1011,1011,48.69214,-121.12064,948
2015,Pyra1019,1019,48.69408,-121.12296,827
2015,July1045,1045,48.66012,-121.0425,1075
2015,July1039,1039,48.66462,-121.04959,971
2015,July1034,1034,48.6674,-121.05739,706
2015,July1037,1037,48.66322,-121.04887,981
2015,July1035,1035,48.6621,-121.04678,1039
2015,July1041,1041,48.66158,-121.04605,1053
2015,Ross3041,3041,48.8299,-121.00839,833
2015,Ross3039,3039,48.8364,-121.01568,641
2015,Ross3037,3037,48.84842,-121.00806,588
2015,Ross3023,3023,48.87342,-121.01784,524
2015,Ross3019,3019,48.88211,-120.99147,709
2015,Mono8024,8024,48.54833,-121.29907,1037
2015,Mono8023,8023,48.56049,-121.30226,1518
2015,Mono8022,8022,48.55731,-121.29137,1559
2015,Mono8021,8021,48.55713,-121.28415,1518
2015,Mono8019,8019,48.55326,-121.2798,1530
2015,Mono8020,8020,48.55142,-121.27805,1554
2015,Mcal5003,5003,48.45068,-120.69478,1304
2015,Thun7128,7128,48.66071,-121.06243,503
2015,Thun7127,7127,48.63913,-121.05155,558
2015,Thun7125,7125,48.61922,-121.05395,601
2015,Thun7126,7126,48.61836,-121.05603,592
2015,Thun7124,7124,48.60523,-121.04866,622
2015,Thun7122,7122,48.56388,-121.02247,679
2015,Thun7121,7121,48.56771,-121.02214,656
2015,Thun7120,7120,48.57509,-121.02377,636
2015,Thun7119,7119,48.58366,-121.02555,782
2015,Thun7118,7118,48.5825,-121.02094,907
2015,Thun7123,7123,48.58537,-121.01912,947
2015,McAl5004,5004,48.45124,-120.69453,1309
2015,McAl5005,5005,48.43281,-120.67679,1694
2015,McAl5006,5006,48.42979,-120.67686,1693
2015,McAl5007,5007,48.42715,-120.67588,1696
2015,Casc5139,5139,48.45928,-121.01138,934
2015,Horse5125,5125,48.47201,-121.02059,1259
2015,Casc5123,5123,48.4664,-121.0283,1153
2015,Casc5121,5121,48.46676,-121.04269,1394
2015,Casc5119,5119,48.46488,-121.04328,1447
2015,Casc5117,5117,48.46317,-121.04825,1482
2015,July1031,1031,48.6544,-121.04185,1189
2015,July1026,1026,48.65032,-121.03471,1489
2015,July1032,1032,48.65094,-121.0338,1459
2015,July1024,1024,48.65275,-121.03748,1321
2015,Beav6057,6057,48.87779,-121.25127,1139
2015,Beav6055,6055,48.88083,-121.25349,1138
2015,Beav6051,6051,48.89101,-121.26849,797
2015,Beav6047,6047,48.8933,-121.27167,789
2015,Beav6049,6049,48.89331,-121.26807,741
2015,Ross3022,3022,48.9218,-121.15659,649
2015,Ross3024,3024,48.92141,-121.15576,643
2015,Ross3020,3020,48.92058,-121.16106,653
2015,Ross3018,3018,48.92122,-121.15568,637
2015,Ross3006,3006,48.91781,-121.09679,598
2015,Ross3026,3026,48.92136,-121.14162,648
2015,Ross3016,3016,48.9172,-121.10633,632
2015,Ross3012,3012,48.91705,-121.07735,641
2015,Ross3014,3014,48.91736,-121.07681,651
2015,Ross3008,3008,48.91623,-121.07402,522
2015,Thor4010,4010,48.68085,-121.32869,1396
2015,Thor4014,4014,48.67732,-121.32074,1423
2015,Thor4012,4012,48.68068,-121.32384,1525
2015,Thor4016,4016,48.66666,-121.32145,1120
2015,Thor4006,4006,48.68591,-121.33701,1570
2015,Thor4004,4004,48.68776,-121.33447,1473
2015,Thor4008,4008,48.6832,-121.33226,1428
2015,Thor4002,4002,48.68187,-121.33109,1409
2015,Ste2018,2018,48.37986,-120.69135,1214
2015,Ste2080,2080,48.3924,-120.83212,723
2015,Ste2016,2016,48.38044,-120.69814,1349
2015,Ste2014,2014,48.37906,-120.70271,1425
2015,Ste2012,2012,48.37606,-120.70233,1569
2015,Ste2008,2008,48.37139,-120.70165,1669
2015,Ste2006,2006,48.36919,-120.70596,1766
2015,Ste2028,2028,48.37632,-120.68579,1147
2015,Ste2026,2026,48.37557,-120.68607,1132
2015,Supp2026,2026,48.37437,-120.68604,1128
2015,Ste2034,2034,48.37868,-120.68585,1179
2015,Ste2030,2030,48.38674,-120.68374,1267
2015,Ste2032,2032,48.38987,-120.68473,1274
2015,Ste2019,2019,48.35442,-120.58188,1775
2015,Ste2017,2017,48.36385,-120.59695,1546
2015,Ste2005,2005,48.36243,-120.61331,1340
2015,Ste2023,2023,48.35408,-120.5808,1776
2015,Ste2021,2021,48.35262,-120.58168,1802
2015,Ste2007,2007,48.36718,-120.61741,1502
2015,Ste2015,2015,48.36881,-120.60986,1601
2015,Ste2011,2011,48.37393,-120.61545,1504
2015,Ste2013,2013,48.37562,-120.61372,1553
2015,Ste2009,2009,48.3763,-120.61662,1551
2015,Ross3025,3025,48.90065,-121.01708,1382
2015,Ross3027,3027,48.9007,-121.02226,1282
2015,Ross3029,3029,48.89954,-121.02557,1191
2015,Ross3031,3031,48.89764,-121.04541,596
2015,Ross3043,3043,48.8357,-121.02163,538
2015,Ross3035,3035,48.86139,-121.01739,550
2015,Ross3021,3021,48.88239,-120.9936,722
2015,Ross3017,3017,48.89509,-120.98036,669
2015,Ruby1055,1055,48.66846,-121.03541,1345
2015,Ruby1057,1057,48.67132,-121.03624,1413
2015,Ruby1063,1063,48.67918,-121.03446,1753
2015,Ruby1061,1061,48.67713,-121.03532,1656
2015,Ruby1059,1059,48.67621,-121.03297,1582
2015,July1020,1020,48.66451,-121.02513,976
2015,July1022,1022,48.66266,-121.02724,1008
2015,Ruby1049,1049,48.6632,-121.07337,589
2015,Ruby1053,1053,48.66681,-121.03342,1282
2015,Ruby1047,1047,48.66082,-121.03204,1127
2015,July1043,1043,48.65983,-121.03677,1122
2015,July1029,1029,48.65874,-121.04126,1064
2015,Pan1025,1025,48.6868,-120.99324,742
2015,Pan1027,1027,48.68511,-120.99557,746
2015,Pan1016,1016,48.68187,-121.00102,746
2015,Pan1018,1018,48.68133,-121.00235,793
2015,Pan1021,1021,48.68642,-120.99019,759
2015,Pan1023,1023,48.69059,-120.98517,690
2015,Pyra1012,1012,48.69226,-121.13745,719
2015,Pyra1010,1010,48.6923,-121.13733,721
2015,Pyra1014,1014,48.69837,-121.12965,686
2015,Sour4015,4015,48.74437,-121.11538,1804
2015,Sour4017,4017,48.74695,-121.1217,1806
2015,Sour4011,4011,48.74855,-121.08366,1492
2015,Sour4009,4009,48.7465,-121.08408,1506
2015,Sour4007,4007,48.74123,-121.08731,1304
2015,Sour4005,4005,48.7436,-121.07408,1123
2015,Sour4027,4027,48.74316,-121.11469,1724
2015,Sour4031,4031,48.74338,-121.12273,1596
2015,Sour4003,4003,48.74237,-121.07439,1143
2015,Sour4025,4025,48.76373,-121.14841,1882
2015,Sour4023,4023,48.76236,-121.14719,1905
2015,Sour4035,4035,48.72837,-121.13556,1040
2015,Sour4033,4033,48.73644,-121.13007,1372
2015,Sour4029,4029,48.74168,-121.12817,1441
2015,Sour4019,4019,48.75153,-121.13447,1783
2015,Sour4021,4021,48.76143,-121.14568,1910
2015,Ross3010,3010,48.91579,-121.07533,523
2015,Beav6069,6069,48.84616,-121.21436,786
2015,July1033,1033,48.65289,-121.03943,1274
2015,McAl5009,5009,48.42371,-120.6629,1825
2015,MCAL5008,5008,48.4254,-120.66248,1840
2015,McAl5010,5010,48.42479,-120.66102,1845
2015,RaRi5011,5011,48.41755,-120.67457,1852
2015,RaRi5014,5014,48.41249,-120.69289,1983
2015,RaRi5015,5015,48.41286,-120.69476,2014
2015,RaRi5013,5013,48.41312,-120.69037,1987
2015,RaRi5012,5012,48.41372,-120.68687,1872
2015,Rari5016,5016,48.41024,-120.70053,2069
2015,RaRi5018,5018,48.40845,-120.70871,2063
2015,RaRi5017,5017,48.40831,-120.71066,1987
2015,RaRi5019,5019,48.40731,-120.72056,2052
2015,RaRi5021,5021,48.40213,-120.73038,1941
2015,RaLa5023,5023,48.40102,-120.73809,1728
2015,RaLa5022,5022,48.40137,-120.73536,1721
2015,RaLa5026,5026,48.43244,-120.75915,1187
2015,RaLa5027,5027,48.43851,-120.75757,1159
2015,Trap5127,5127,48.4509,-120.99136,833
2015,Supp5127,5127,48.45096,-120.99374,843
2015,BEAV6067,6067,48.85672,-121.22981,828
2015,BEAV6063,6063,48.86093,-121.23669,849
2015,BEAV6061,6061,48.86102,-121.2373,827
2014,Anne263,5030,48.64173,121.33772,1981
2014,Anne264,5031,48.64111,121.32284,1920
2014,Anne265,5032,48.60471,121.39763,1731
2014,Bac208,4030,48.69906,121.21031,162
2014,Bak487,8010,48.70572,121.17801,1402
2014,Bak488,8011,48.72881,121.06728,1381
2014,Bak489,8012,48.72991,121.06342,1219
2014,Bak491,8014,48.68348,121.09074,280
2014,Bak492,8015,48.7081,121.08628,305
2014,Bak493,8016,48.64336,120.85539,274
2014,Bak494,8017,48.56111,120.7683,238
2014,Cari276,5111,48.67597,121.07627,1533
2014,Cari278,5113,48.72912,121.15655,1585
2014,Cari280,5115,48.72021,121.14786,1643
2014,Cari382,6080,48.72763,121.15279,981
2014,Cari384,6082,48.74022,121.17255,658
2014,Cari447,7075,48.70878,121.14322,1164
2014,Cari448,7076,48.64874,121.2328,884
2014,Cari449,7077,48.51429,121.21725,622
2014,Cari450,7078,48.51429,-121.21725,1149
2014,Dia1,1001,48.46748,121.05886,617
2014,Dia2,1002,48.47278,121.06167,457
2014,Dia230,4055,48.47641,121.07371,625
2014,Dia231,4057,48.48761,121.08456,543
2014,Dia232,4059,48.49179,121.12442,427
2014,Dia233,4061,48.49373,121.12341,408
2014,Dia234,4063,NA,NA,299
2014,Dia3,1003,48.7184,121.01249,594
2014,Dia4,1004,NA,NA,572
2014,Dia5,1005,48.65152,121.32671,518
2014,Dia6,1006,48.71519,120.9901,671
2014,Dia8,1008,48.72031,121.01089,594
2014,Dia9,1009,48.7092,121.09686,381
2014,Easy451,7101,48.49417,120.70565,1195
2014,Easy452,7102,48.50623,120.76715,1372
2014,Easy453,7103,48.50224,120.76921,1408
2014,Easy454,7104,48.50928,120.75087,1564
2014,Easy455,7105,48.58347,120.80726,2006
2014,Easy456,7106,48.57978,120.81618,1987
2014,Easy457,7107,48.74809,121.5586,1670
2014,Easy458,7108,48.76765,121.5477,1600
2014,Easy459,7109,48.77031,121.54697,1603
2014,Easy460,7110,48.77716,121.53687,1548
2014,Easy461,7111,48.77828,121.61092,1518
2014,Easy462,7112,48.77432,121.60689,1408
2014,Easy463,7113,48.7803,121.61281,1326
2014,Easy464,7115,48.56434,120.84384,1146
2014,Easy465,7116,48.57246,120.82899,1109
2014,Easy466,7117,48.5735,120.82376,1085
2014,Gor481,8004,48.57183,120.84467,311
2014,Gor482,8005,48.56012,120.89564,335
2014,Gran478,8001,48.56126,120.88566,1231
2014,Gran479,8002,48.56869,120.86423,975
2014,Hozo132,3001,48.56855,120.86191,853
2014,Hozo134,3003,48.57242,120.95251,808
2014,Hozo136,3005,48.569,120.93428,643
2014,Hozo138,3007,48.57407,120.9675,838
2014,Hozo140,3009,48.56547,120.84834,869
2014,Hozo142,3011,48.56691,120.84988,869
2014,Hozo144,3013,48.5699,120.85208,881
2014,Hozo146,3015,48.94786,121.03979,872
2014,PCT235,5001,48.96009,121.05392,1311
2014,Thor217,4038,48.98457,121.06525,418
2014,Thor219,4040,48.95288,121.04045,753
2014,Thor221,4042,NA,NA,747
2014,Thor223,4044,48.9428,121.00895,677
2014,Thor225,4046,48.94371,121.01437,442
2014,Thu42,1038,48.94236,121.01013,378
2014,Thu46,1042,48.94818,120.99184,396
2015,Copp6040,6040,48.87971,-121.49261,988