"Elevation.m","Elevation.m2","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Species","Fire.Included","Effect"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACCI","No","+"
100,100,NA,NA,NA,NA,NA,NA,100,71,NA,"ACCI","No","-"
NA,NA,100,100,100,100,100,100,NA,29,100,"ACCI","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACCI","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"ACGL","No","+"
100,100,NA,NA,NA,NA,NA,NA,98,15,8,"ACGL","No","-"
NA,NA,100,100,100,100,100,100,NA,85,92,"ACGL","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACGL","No","Ignore"
1,2,100,36,97,99,19,NA,NA,NA,NA,"ACMI","Yes","+"
99,90,NA,64,2,NA,NA,19,NA,NA,NA,"ACMI","Yes","-"
NA,8,NA,NA,1,1,81,81,100,100,100,"ACMI","Yes","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACMI","Yes","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,"AMAL","No","+"
100,100,NA,NA,NA,NA,NA,NA,22,NA,NA,"AMAL","No","-"
NA,NA,100,100,100,100,100,100,NA,100,100,"AMAL","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMAL","No","Ignore"
NA,NA,100,NA,100,100,NA,NA,NA,NA,NA,"ARUV","Yes","+"
100,100,NA,100,NA,NA,NA,NA,NA,NA,NA,"ARUV","Yes","-"
NA,NA,NA,NA,NA,NA,100,100,100,100,100,"ARUV","Yes","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARUV","Yes","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,"ATFI","No","+"
100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATFI","No","-"
NA,NA,100,100,100,100,100,100,NA,100,100,"ATFI","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATFI","No","Ignore"
74,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,"CAME","No","+"
NA,74,NA,NA,NA,NA,NA,NA,62,3,NA,"CAME","No","-"
NA,NA,74,74,74,74,74,74,NA,71,74,"CAME","No","0"
26,26,26,26,26,26,26,26,26,26,26,"CAME","No","Ignore"
NA,NA,100,NA,48,46,17,NA,NA,NA,NA,"CARU","Yes","+"
100,100,NA,100,NA,2,4,21,NA,NA,NA,"CARU","Yes","-"
NA,NA,NA,NA,52,52,79,79,100,100,100,"CARU","Yes","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARU","Yes","Ignore"
NA,NA,100,NA,65,65,NA,NA,NA,NA,NA,"CEVE","Yes","+"
100,100,NA,100,NA,NA,4,4,NA,NA,NA,"CEVE","Yes","-"
NA,NA,NA,NA,35,35,96,96,100,100,100,"CEVE","Yes","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEVE","Yes","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHUM","No","+"
100,100,NA,NA,NA,NA,NA,NA,100,95,75,"CHUM","No","-"
NA,NA,100,100,100,100,100,100,NA,5,25,"CHUM","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHUM","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,"CLUN","No","+"
100,100,NA,NA,NA,NA,NA,NA,2,36,NA,"CLUN","No","-"
NA,NA,100,100,100,100,100,100,NA,64,100,"CLUN","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLUN","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,"COCA","No","+"
100,100,NA,NA,NA,NA,NA,NA,1,NA,NA,"COCA","No","-"
NA,NA,100,100,100,100,100,100,NA,100,100,"COCA","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COCA","No","Ignore"
3,NA,100,23,NA,45,7,24,NA,NA,NA,"EPAN","Yes","+"
97,100,NA,77,52,7,17,NA,NA,NA,NA,"EPAN","Yes","-"
NA,NA,NA,NA,48,48,76,76,100,100,100,"EPAN","Yes","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPAN","Yes","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"GAOV","No","+"
99,99,NA,NA,NA,NA,NA,NA,99,4,4,"GAOV","No","-"
NA,NA,99,99,99,99,99,99,NA,94,95,"GAOV","No","0"
1,1,1,1,1,1,1,1,1,1,1,"GAOV","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,71,5,NA,"GASH","No","+"
100,100,NA,NA,NA,NA,NA,NA,29,NA,NA,"GASH","No","-"
NA,NA,100,100,100,100,100,100,NA,95,100,"GASH","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASH","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,"GOOB","No","+"
100,100,NA,NA,NA,NA,NA,NA,3,100,51,"GOOB","No","-"
NA,NA,100,100,100,100,100,100,NA,NA,49,"GOOB","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOB","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,100,39,NA,"GYDR","No","+"
100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GYDR","No","-"
NA,NA,100,100,100,100,100,100,NA,61,100,"GYDR","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GYDR","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"HIAL","No","+"
99,99,NA,NA,NA,NA,NA,NA,95,8,NA,"HIAL","No","-"
NA,NA,99,99,99,99,99,99,NA,91,99,"HIAL","No","0"
1,1,1,1,1,1,1,1,1,1,1,"HIAL","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HODI","No","+"
100,100,NA,NA,NA,NA,NA,NA,100,100,NA,"HODI","No","-"
NA,NA,100,100,100,100,100,100,NA,NA,100,"HODI","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HODI","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,"LIBO","No","+"
100,100,NA,NA,NA,NA,NA,NA,NA,100,1,"LIBO","No","-"
NA,NA,100,100,100,100,100,100,NA,NA,99,"LIBO","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIBO","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"MANE","No","+"
100,100,NA,NA,NA,NA,NA,NA,97,NA,NA,"MANE","No","-"
NA,NA,100,100,100,100,100,100,NA,100,100,"MANE","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MANE","No","Ignore"
100,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,"MEFE","No","+"
NA,97,NA,NA,NA,NA,NA,NA,100,40,62,"MEFE","No","-"
NA,3,100,100,100,100,100,100,NA,20,38,"MEFE","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEFE","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,"OPHO","No","+"
100,100,NA,NA,NA,NA,NA,NA,100,53,96,"OPHO","No","-"
NA,NA,100,100,100,100,100,100,NA,NA,4,"OPHO","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OPHO","No","Ignore"
NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,"PAMY","Yes","+"
100,100,NA,100,NA,NA,NA,NA,NA,NA,NA,"PAMY","Yes","-"
NA,NA,NA,NA,100,100,100,100,100,100,100,"PAMY","Yes","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PAMY","Yes","Ignore"
NA,86,NA,NA,NA,NA,NA,NA,NA,66,NA,"POMU","No","+"
100,14,NA,NA,NA,NA,NA,NA,100,33,NA,"POMU","No","-"
NA,NA,100,100,100,100,100,100,NA,1,100,"POMU","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POMU","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,NA,98,10,"PTAQ","No","+"
100,100,NA,NA,NA,NA,NA,NA,100,2,NA,"PTAQ","No","-"
NA,NA,100,100,100,100,100,100,NA,NA,90,"PTAQ","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PTAQ","No","Ignore"
99,NA,NA,NA,NA,NA,NA,NA,2,5,2,"RULA","No","+"
NA,99,NA,NA,NA,NA,NA,NA,97,26,NA,"RULA","No","-"
NA,NA,99,99,99,99,99,99,NA,68,97,"RULA","No","0"
1,1,1,1,1,1,1,1,1,1,1,"RULA","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,1,91,91,"RUPA","No","+"
100,100,NA,NA,NA,NA,NA,NA,99,9,NA,"RUPA","No","-"
NA,NA,100,100,100,100,100,100,NA,NA,9,"RUPA","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUPA","No","Ignore"
100,NA,NA,NA,NA,NA,NA,NA,50,NA,3,"RUPE","No","+"
NA,100,NA,NA,NA,NA,NA,NA,50,42,NA,"RUPE","No","-"
NA,NA,100,100,100,100,100,100,NA,58,97,"RUPE","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUPE","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,100,52,NA,"RUSP","No","+"
100,100,NA,NA,NA,NA,NA,NA,NA,NA,16,"RUSP","No","-"
NA,NA,100,100,100,100,100,100,NA,48,84,"RUSP","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUSP","No","Ignore"
100,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,"SOSI","No","+"
NA,100,NA,NA,NA,NA,NA,NA,100,NA,29,"SOSI","No","-"
NA,NA,100,100,100,100,100,100,NA,NA,71,"SOSI","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOSI","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,100,18,NA,"SPBE","No","+"
100,100,NA,NA,NA,NA,NA,NA,NA,81,NA,"SPBE","No","-"
NA,NA,100,100,100,100,100,100,NA,1,100,"SPBE","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPBE","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,"TITR","No","+"
100,100,NA,NA,NA,NA,NA,NA,1,NA,NA,"TITR","No","-"
NA,NA,100,100,100,100,100,100,NA,100,100,"TITR","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TITR","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,"TRBO","No","+"
70,70,NA,NA,NA,NA,NA,NA,23,70,53,"TRBO","No","-"
NA,NA,70,70,70,70,70,70,NA,NA,17,"TRBO","No","0"
30,30,30,30,30,30,30,30,30,30,30,"TRBO","No","Ignore"
100,NA,NA,100,100,NA,NA,NA,NA,NA,NA,"VAME","Yes","+"
NA,100,100,NA,NA,100,NA,NA,NA,NA,NA,"VAME","Yes","-"
NA,NA,NA,NA,NA,NA,100,100,100,100,100,"VAME","Yes","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAME","Yes","Ignore"
100,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,"VASI","No","+"
NA,100,NA,NA,NA,NA,NA,NA,18,NA,NA,"VASI","No","-"
NA,NA,100,100,100,100,100,100,NA,100,100,"VASI","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASI","No","Ignore"
