SpeciesCode,SpeciesBinomial
ACCI,Acer circinatum
ACGL,Acer glabrum
ACMI,Achillea millefolium
AMAL,Amelanchier alnifolia
ARUV,Arctostaphylos uva-ursi
ATFI,Athyrium filix-femina
CAME,Cassiope mertensiana
CARU,Calamagrostis rubescens
CEVE,Ceanothus velutinus
CHAN,Chamaenerion angustifolium
CHUM,Chimaphila umbellata
CLUN,Clintonia uniflora
COCA,Cornus canadensis
COSE,Cornus sericea
GAOV,Gaultheria ovatifolia
GASH,Gaultheria shallon
GOOB,Goodyera oblongifolia
GYDR,Gymnocarpium dryopteris
HIAL,Hieracium albiflorum
HODI,Holodiscus discolor
LIBO,Linnaea borealis
LUPE,Luetkea pectinata
MANE,Mahonia nervosa
MEFE,Menziesia ferruginea
OPHO,Oplopanax horridus
PAMY,Paxistima myrsinites
PHEM,Phyllodoce empetriformis
POMU,Polystichum munitum
PTAQ,Pteridium aquilinum
RHAL,Rhododendron albiflorum
RULA,Rubus lasiococcus
RUPA,Rubus parviflorus
RUPE,Rubus pedatus
RUSP,Rubus spectabilis
SOSI,Sorbus sitchensis
SPBE,Spiraea betulifolia
TITR,Tiarella trifoliata
TRBO,Trientalis borealis
VAAL,Vaccinium alaskaense
VADE,Vaccinium deliciosum
VAME,Vaccinium membranaceum
VASI,Valeriana sitchensis